id;username;tweetID;content;likes;retweets;quotes;replies;BERTlabel;weightedBERTlabel;posSentiword;negSentiword;posInset;negInset;n_keywords;tag_overall
0;Singhasari1982;1074194773559304194;"@marierteman @prabowo PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA
PRABOWO AJA";2;0;0;0;-1;-1;0.0;0.0;0;0;23;3.0
1;NurSyahbana9;1067997009859141632;"ULAMA PEWARIS NABI
Apa bedanya antara Ulama pendukung Presiden Jokowi dengan ulama pendukung Prabowo?

Ulama pendukung Prabowo menjelek-jelekkan presiden Jokowi

Ulama pendukung presiden Jokowi tidak pernah sama sekali menjelek-jelekkan Prabowo #mikir";87;24;2;13;-1;-67;0.0;0.0;42;-2;19;1.0
2;didienAZHAR;1115833133964910597;"Lima kueri tertinggi di antaranya yakni kampanye prabowo  sandi, partai prabowo sandi, pendukung prabowo sandi, partai partai pendukung prabowo sandi dan partai pendukung prabowo sandi.
https://t.co/2W5QHV24By";1;1;0;0;0;0;0.125;0.0;18;0;18;3.0
3;fariji_lacak;1052383624698314753;"@YCH7168 @mochamadarip @NaneDianti @GunRomli *Hanya di-Era Jokowi, Ada Ulama KHUSUS*
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS YuTub &amp; Medsos.
3.Ulama KHUSUS Demo.
4.Ulama KHUSUS teriak Takber.
5.Ulama KHUSUS Deklarasi 2019GantiPresiden.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Hoax.
8.Ulama KHUSUS Kawal Ulama ke-Kantor Polisi";4;2;0;0;-1;-4;0.5;0.125;37;-19;17;1.0
4;fariji_lacak;1052382472174886912;"*Hanya di-Era Jokowi, Ada Ulama KHUSUS*
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS YuTub &amp; Medsos.
3.Ulama KHUSUS Demo.
4.Ulama KHUSUS teriak Takber.
5.Ulama KHUSUS Deklarasi 2019GantiPresiden.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Hoax.
8.Ulama KHUSUS Kawal Ulama ke-Kantor Polisi";3;0;0;1;-1;-1;0.5;0.125;37;-19;17;1.0
5;Ars_sand;1097878146861346816;"@putrabanten80 @ZAEffendy @RamliRizal Kalau hanya kerja... Kerja... Kerja....
Mana sempat mikir....
Kerja kerja kerja... Eh tahu2 utang membengkak
Kerja kerja kerja... Eh tahu2 defisit
Kerja kerja kerja... Eh tahu2 import
Kerja kerja kerja... Eh tahu2 harga2 naik...
#LyingAwardsForPresident
#CapresPembohongKelautAje";1;0;0;0;-1;0;1.875;0.0;37;-10;17;1.0
6;papaeray;1098980847712034816;"@dee_jacobus @haikal_hassan Transaksi politik Prabowo dg Jokowi.

Pilgub DKI 2012
Prabowo --&gt; Jokowi -&gt; Gub DKI
Jokowi diuntungkan Prabowo

Pilpres 2014
Jokowi -x- Prabowo -&gt; RI 1
Prabowo diuntungkan Jokowi?

Baru 2 tahun berlalu Jokowi sudah mengkhianati transaksi.";2;0;0;1;-1;-1;0.0;0.0;8;-6;16;1.0
7;fariji_lacak;1085608254732853249;"hanya di Era GENDERUWO, ada Ulama KHUSUS.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS Medsos.
3.Ulama KHUSUS Demo.
4.Ulama KHUSUS triak2 Takber.
5.Ulama KHUSUS Deklarasi Ganti Presiden.
6.Ulama KHUSUS Fitnah Jokowi.
7.Ulama KHUSUS Ijtima.
8.Ulama KHUSUS Reuni 212.
9.Ulama KHUSUS Hoax. https://t.co/CvuQB3BvEq";17;9;0;1;-1;-17;0.75;0.375;36;-20;16;1.0
8;fariji_lacak;1081349555751284736;"hanya di ERA Jokowi, ada Ulama KHUSUS.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS Sosmed.
3.Ulama KHUSUS Ganti Presiden.
4.Ulama KHUSUS Demo.
5.Ulama KHUSUS triak2 Takber.
6.Ulama KHUSUS Serang Jokowi.
7.Ulama KHUSUS Ijtima.
8.Ulama KHUSUS Reuni.
9.Ulama KHUSUS Hoax.
10..tambahi dewe";2;0;0;3;-1;-1;0.5;0.25;36;-16;16;1.0
9;fariji_lacak;1053229902466445313;"Hanya Ada Di Era Jokowi.
1.Ulama KHUSUS Instan.
2.Ulama KHUSUS YuTub/Medsos.
3.Ulama KHUSUS Demo.
4.Ulama KHUSUS teriak2 Takber.
5.Ulama KHUSUS 2019GantiPresiden.
6.Ulama KHUSUS Ijtima.
7.Ulama KHUSUS Hoax.
8.Ulama KHUSUS minta ma'af.
9.Ulama KHUSUS Kawal Ulama ke Polisi.";5;2;0;0;-1;-4;0.5;0.125;37;-16;16;1.0
